territorial,fecha_registro,pr,distancia_pr,fecha_acc,dia_semana_acc,min_acc,condic_meteor,estado_super,terreno,secc_tip,geometria_acc,tipo_cierre,horas_cierre,min_cierre,n_heridos,n_muertos,n_victimas,clase_accidente,causa_posible,ref_loc,hora_acc,duracion_cierre_horas
Sucre,2020-08-20 14:45:00,93,300.0,2020-01-31 05:00:00,viernes,0,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,6,0,6.0,Choque,adelantamientos indebidos,9004_1_93,15.0,10.0
Putumayo,2020-08-20 15:26:00,70,400.0,2020-06-23 05:00:00,martes,51,Lluvia,Humeda,Ondulado,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Volcamiento,impericia en el manejo,4502_0_70,14.0,10.0
Sucre,2020-08-20 16:23:00,2,500.0,2020-02-02 05:00:00,domingo,30,Sol,Seca y limpia,Plano,Media Ladera Derecha,Curva Derecha,Transito normal con precaución,0,40,0,1,1.0,Choque,exceso de velocidad,90SC02_0_2,9.0,15.0
Santander,2020-08-20 16:14:00,48,360.0,2020-07-27 05:00:00,lunes,30,Seca,Seca y limpia,Ondulado,Cajón,Recta,Transito normal con precaución,17,30,1,0,1.0,Caída ocupante,condiciones de la via y factores ambientales,5504_1_48,17.0,0.0
Sucre,2020-08-20 16:53:00,35,400.0,2020-03-05 05:00:00,jueves,50,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,40,1,0,1.0,Choque,impericia en el manejo,9004_1_35,18.0,6.0
Sucre,2020-08-20 16:58:00,0,300.0,2020-03-10 05:00:00,martes,30,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,0,1,1.0,Choque,exceso de velocidad,90SC02_0_0,6.0,19.0
Santander,2020-08-20 16:53:00,32,750.0,2020-08-14 05:00:00,viernes,50,Seca,Seca y limpia,Plano,Cajón,Recta,Transito normal con precaución,13,50,1,0,1.0,Atropello,exceso de velocidad,6403_0_32,13.0,0.0
Sucre,2020-08-20 17:07:00,90,500.0,2020-05-16 05:00:00,sabado,0,Sol,Seca y limpia,Plano,Terraplen,Recta,Parcial con paso alternado,2,0,2,0,2.0,Choque,condiciones de la via y factores ambientales,9004_1_90,6.0,20.0
Santander,2020-08-20 17:07:00,33,30.0,2020-06-21 05:00:00,domingo,0,Seca,Seca y limpia,Plano,Cajón,Recta,Transito normal con precaución,19,0,1,0,1.0,Choque,condiciones de la via y factores ambientales,6403_0_33,19.0,0.0
Sucre,2020-08-20 17:13:00,31,0.0,2020-05-18 05:00:00,lunes,0,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,30,0,0,0.0,Choque,adelantamientos indebidos,9004_1_31,9.0,15.0
Sucre,2020-08-20 17:19:00,93,100.0,2020-05-26 05:00:00,martes,25,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,1,0,2,0,2.0,Choque,adelantamientos indebidos,9004_1_93,18.0,7.0
Santander,2020-08-20 16:32:00,30,145.0,2020-06-07 05:00:00,domingo,18,Seca,Seca y limpia,Plano,Cajón,Recta,Transito normal con precaución,4,18,0,0,0.0,Choque,condiciones de la via y factores ambientales,6403_0_30,4.0,0.0
Putumayo,2020-08-21 20:03:00,73,400.0,2020-07-27 05:00:00,lunes,0,Normal,Seca y limpia,Ondulado,Cajón,Curva Izquierda,Transito normal con precaución,0,0,0,0,0.0,Salida de la vía sin volcarse,otra - conductor en general,4502_0_73,11.0,13.0
Valle del Cauca,2020-08-21 23:24:00,33,703.0,2020-04-04 05:00:00,sabado,20,Normal,Seca y limpia,Montañoso,Cajón,Curva Izquierda,Parcial con reducción de carriles,16,50,0,0,0.0,Volcamiento,fallas mecanicas y del sistema electrico,4001_2_33,16.0,0.0
Valle del Cauca,2020-08-21 23:34:00,52,70.0,2020-04-06 05:00:00,lunes,20,Lluvia,Humeda,Montañoso,Media ladera Izquierda,Curva Derecha,Cierre total,0,20,0,0,0.0,Choque,no mantener distancia de seguridad,4001_2_52,6.0,18.0
Valle del Cauca,2020-08-21 23:40:00,24,500.0,2020-04-12 05:00:00,domingo,20,Lluvia,Humeda,Montañoso,Terraplen,Curva Derecha,Parcial con reducción de carriles,1,20,0,0,1.0,Atropello,conducta de peatones,4001_2_24,5.0,20.0
Valle del Cauca,2020-08-21 23:45:00,24,500.0,2020-04-12 05:00:00,domingo,30,Lluvia,Humeda,Montañoso,Terraplen,Curva Derecha,Parcial con reducción de carriles,1,5,0,0,0.0,Choque,condiciones de la via y factores ambientales,4001_2_24,5.0,20.0
Valle del Cauca,2020-08-21 23:51:00,56,700.0,2020-04-13 05:00:00,lunes,30,Lluvia,Humeda,Montañoso,Cajón,Curva Izquierda,Cierre total,0,20,0,0,0.0,Choque,condiciones de la via y factores ambientales,4001_1_56,10.0,14.0
